vehicle_id,model,date,battery_health_pct,range_km,charge_cycles,temperature_c,mileage_km
EV-001,Rivian EDV,2024-01-01,97.56,271.01,0,15.93,0.0
EV-001,Rivian EDV,2024-01-02,97.55,270.98,0,25.04,155.08
EV-001,Rivian EDV,2024-01-03,97.55,270.89,1,28.13,223.98
EV-001,Rivian EDV,2024-01-04,97.54,270.83,1,25.43,261.75
EV-001,Rivian EDV,2024-01-05,97.51,270.86,2,34.81,537.7
EV-001,Rivian EDV,2024-01-06,97.51,270.9,3,27.37,625.32
EV-001,Rivian EDV,2024-01-07,97.51,270.88,2,32.68,772.8
EV-001,Rivian EDV,2024-01-08,97.47,270.82,3,21.39,662.05
EV-001,Rivian EDV,2024-01-09,97.46,270.71,3,25.23,1179.06
EV-001,Rivian EDV,2024-01-10,97.47,270.68,6,28.4,1243.64
EV-001,Rivian EDV,2024-01-11,97.48,270.58,5,29.58,1269.4
EV-001,Rivian EDV,2024-01-12,97.4,270.52,5,37.85,1140.72
EV-001,Rivian EDV,2024-01-13,97.48,270.76,6,18.62,973.52
EV-001,Rivian EDV,2024-01-14,97.47,270.38,8,23.23,1670.2
EV-001,Rivian EDV,2024-01-15,97.36,270.36,9,26.99,1226.86
EV-001,Rivian EDV,2024-01-16,97.43,270.3,8,34.99,1909.56
EV-001,Rivian EDV,2024-01-17,97.43,270.33,8,22.4,1607.77
EV-001,Rivian EDV,2024-01-18,97.47,270.18,7,32.71,1957.5
EV-001,Rivian EDV,2024-01-19,97.43,270.0,9,38.77,1640.64
EV-001,Rivian EDV,2024-01-20,97.35,270.22,8,31.48,2953.14
EV-001,Rivian EDV,2024-01-21,97.34,270.05,13,19.2,1768.79
EV-001,Rivian EDV,2024-01-22,97.36,270.4,11,33.36,3163.91
EV-001,Rivian EDV,2024-01-23,97.38,270.46,11,26.45,2899.93
EV-001,Rivian EDV,2024-01-24,97.44,270.22,11,30.77,2142.97
EV-001,Rivian EDV,2024-01-25,97.31,270.06,14,22.56,2243.12
